DY
189
23
Life expectancy at birth 2019;Expected years of schooling 2019;Mean years of schooling 2019;Gross national income (GNI) per capita 2019;GNI per capita rank minus HDI rank 2019;Refugees by country of origin 1000s 2019;Internally displaced persons 1000s;Homeless people due to natural disaster avergae per million;Orphaned children 1000s 2019;Prison population per 100k 2013-18;Homicide rate per 100k 2013-18;Suicides per 100K Female 2016;Suicides per 100K Male 2016;HIV prevalence adult % 15-49;Healthy life expectancy at birth;Current health expenditure % GDP;Exports and imports % GDP;Foreign direct investment net inflows  % GDP;Net migration rate per 1000;Lost health expectancy;Physicians per 100k;Hospital beds;Pupil–teacher ratio primary school
South Africa;64.13;13.79;10.24;12129.23;-14;0.45;0.3;15.84;3270;284;36.4;5.1;21.7;20.4;56.18;8.11;59.2;1.32;2.54;13.77;9.05;23;30.33;2
"Palestine State of";74.05;13.41;9.17;6417.39;12;96.34;243;10.22;;22.2;0.49;;;;64.42;;79.6;1.8;-2.19;13.89;;;24.45;2
Egypt;71.99;13.33;7.43;11466.15;-14;27.52;65;0;1760;112.2;;1.7;7.2;0.1;62.47;5.29;48.28;2.97;-0.39;11.98;4.52;14.3;23.68;2
Marshall Islands;74.11;12.39;10.89;5039.04;21;0.01;;0;;61.4;;;;;57.38;16.4;125.73;4.41;;12.39;4.23;;;2
Viet Nam;75.4;12.69;8.32;7432.71;3;316.44;;414.76;1330;137.4;;3.4;10.8;0.3;65.74;5.53;210.4;6.32;-0.84;11.71;8.28;31.8;20.28;2
Gabon;66.47;12.98;8.7;13929.81;-30;0.44;;38.76;80;173.2;;4.3;15;3.8;58.82;2.78;72.94;5.02;1.56;13.26;6.82;13;24.53;2
Kyrgyzstan;71.45;12.97;11.1;4864.39;23;2.97;;82.98;140;177.1;2.19;3.7;14.8;0.2;64.93;6.19;103.09;1.74;-0.64;11.56;22.13;44.1;24.99;3
Morocco;76.68;13.72;5.65;7368.36;1;4.65;;0;350;232.5;1.42;3.6;2.5;0.1;63.83;5.25;87.46;1.35;-1.44;12.98;7.31;10;26.8;3
Guyana;69.91;11.43;8.49;9455.01;-10;0.29;;0;24;275.2;14.25;14.2;46.6;1.4;58.37;4.95;79.08;30.43;-7.72;13.28;8.02;17.1;23.16;3
Iraq;70.6;11.27;7.32;10800.84;-16;343.85;1555;5.31;;105;10.07;3.4;4.7;;63.38;4.17;76.37;-1.29;0.21;13.49;7.08;13.2;16.96;3
El Salvador;73.32;11.69;6.91;8359.12;-6;41.85;;257.59;170;617.4;52.02;4.3;24.8;0.6;65.53;7.23;77.18;2.68;-6.33;13.45;15.66;12;26.89;3
Tajikistan;71.1;11.66;10.73;3953.6;25;2;;17.09;180;;;1.7;5;0.2;61.84;7.23;56.64;2.62;-2.22;11.1;21.03;46.7;22.3;3
Cabo Verde;72.98;12.7;6.29;7019.17;-1;0.01;;0;8.4;288.1;6.8;7.7;24.1;0.6;64.62;5.17;116.21;5.31;-2.48;12.37;7.81;21;21.07;3
Guatemala;74.3;10.75;6.62;8494.09;-10;22.77;242;353.49;410;140.9;22.5;1.7;4.4;0.4;62.91;5.81;45.87;1.26;-0.54;13.32;3.55;4.4;20.26;3
Nicaragua;74.49;12.32;6.91;5283.66;6;4.38;;2.22;110;323.5;7.19;5;19.2;0.2;65.78;8.65;95.08;2.75;-3.31;12.74;9.78;9.3;30.22;3
Bhutan;71.78;12.98;4.07;10745.84;-21;6.99;;0;;155.6;1.19;8.9;13.8;0.3;63.23;3.19;86.71;0.11;0.43;13.58;4.24;17.4;34.67;3
Namibia;63.71;12.63;6.99;9356.67;-17;0.46;;;140;313.8;;4.9;19.4;11.8;56.77;8.55;83.48;-0.1;-1.98;12.96;4.18;27;25.09;3
India;69.66;12.16;6.5;6681.35;-5;11.99;470;296.65;;32.7;3.08;14.5;18.5;;60.52;3.53;40.02;1.76;-0.4;14.48;8.57;5.3;32.75;3
Honduras;75.27;10.06;6.57;5308.45;1;26.37;247;81.71;200;216.2;38.93;1.7;5.3;0.3;63.02;7.86;96.61;3.81;-0.72;12.55;3.09;6.4;25.6;3
Bangladesh;72.59;11.6;6.22;4976.21;7;22.87;427;116.51;;51.6;2.37;6.7;5.5;0.1;64.53;2.27;36.76;0.53;-2.3;13.44;5.81;7.9;30.05;3
Kiribati;68.37;11.8;7.98;4259.73;12;0;;0;;114.2;;5.4;25.9;;53.54;10.76;98.39;-0.58;-6.94;11.87;2.04;18.6;25.49;3
Sao Tome and Principe;70.39;12.69;6.44;3952.07;16;0.03;;;;119.9;;2.1;4.2;;62.28;6.23;;5.61;-8.03;12.2;0.53;29;31.16;3
